"georeg_agg","doymin","mean_pai","median_pai","sd_pai","se_pai","mean_tocpai","median_tocpai","sd_tocpai","se_tocpai","mean_uspai","median_uspai","sd_uspai","se_uspai","n_used"
"Southern","273",3.32124216031898,3.56212472915649,1.55972282972876,0.00158094804322368,1.08271165950743,0.94990885257721,0.862026867801363,0.00087375760864756,2.23627305008177,2.29394364356995,1.07939765180491,0.00109408644469092,973329
"Southern","289",3.48512240540835,3.74588680267334,1.50692495415458,0.00198951194165597,1.16087632788297,1.05341362953186,0.870147787092716,0.00114880930775859,2.32129291531123,2.37686157226562,1.05108518398075,0.0013876912181075,573707
"Southern","305",3.53352961978521,3.78832221031189,1.49873776758724,0.00200515332793569,1.21658543336439,1.12155342102051,0.87607781037536,0.00117209986629799,2.31565618331651,2.3640444278717,1.04343397288504,0.00139600479047099,558671
"Southern","321",3.52347628113629,3.82614541053772,1.55514405199076,0.00250104950021455,1.15681954570575,1.03998529911041,0.886274347459542,0.00142534449521197,2.36506941084754,2.43398892879486,1.10616916244305,0.00177898878714123,386631
"Southern","337",3.47504020442805,3.75352919101716,1.51160417295354,0.00313718870924422,1.09181010860003,0.964360356330871,0.860380024935927,0.00178563578229233,2.38151753377243,2.45694726705551,1.09398492428086,0.00227046022625844,232164
"Southern","353",3.51582907384525,3.78369116783142,1.52631793992419,0.00388102265530687,1.12255953573437,0.996910572052002,0.875002874097278,0.00222490078181144,2.39158617823133,2.44991183280945,1.0929769758376,0.00277915124627651,154667
NA,"1",3.2420891043089,3.55422472953796,1.73027587070608,0.0881830237917644,0.893543349797974,0.674396693706512,0.786303267197218,0.0400737251745291,2.34831239768212,2.56515264511108,1.31317045038733,0.0669253631918784,385
NA,"17",2.67958209389711,2.89236891269684,1.69011654799511,0.289852596707103,0.354587320039761,0.065533645451069,0.502630633125993,0.0862004424303912,2.3247113515801,2.5325913191773,1.44716109006501,0.248186079419441,34
NA,"33",2.15051609128931,1.97568213939667,1.62727482769987,0.0974223956365341,0.569407772479786,0.335143268108368,0.659600340574221,0.0394892394619322,1.58043017785906,1.36167085170746,1.24197239633618,0.0743549424509589,279
NA,"49",2.67764980629427,2.49680066108704,1.23701260350166,0.0449897134219109,0.768328633891615,0.678087621927261,0.571345590421387,0.0207796382228987,1.90921764245097,1.70819970965386,0.939737070013,0.0341779067991316,756
NA,"65",3.38649590932325,3.602743268013,1.59334732037404,0.0552393794541515,1.02784702115626,0.874779313802719,0.828174781312443,0.0287117946064249,2.35811187058726,2.44589795172215,1.15996750233502,0.0402146375725078,832
NA,"81",3.45563275321616,3.55266880989075,1.48968653031871,0.0784045542273004,1.00218674147416,0.905722796916962,0.788842222229996,0.0415180116963156,2.45319055317942,2.54440140724182,1.12094561419228,0.0589971375890675,361
NA,"97",2.91759444725544,2.95340812206268,1.63630101816134,0.0721741438935188,0.715818036324583,0.543053954839706,0.704323201848163,0.0310663646563354,2.20123844384255,2.24007381207776,1.22183996346384,0.053893050459005,514
NA,"113",3.41026097479186,3.48907446861267,1.39729040257231,0.0713982042822342,0.685238628939564,0.463045179843903,0.715858306248211,0.0365786507175261,2.72497864397575,2.81725430488586,1.09218740172088,0.0558081692102043,383
NA,"129",2.96596673011791,3.21168887615204,1.57713519828415,0.0602153016796028,0.509123613364922,0.261528939008712,0.624946729076866,0.0238605769917415,2.45628749478923,2.63215225934982,1.30810929045449,0.0499438447891495,686
NA,"145",3.19224987078621,3.41000986099243,1.54847633212185,0.0612567769703169,0.84386253608019,0.64240038394928,0.772901145308364,0.0305754967616329,2.34699777569891,2.4501725435257,1.12676315886056,0.0445740616688093,639
NA,"161",3.35311594160443,3.55629873275756,1.45768636319828,0.050475550667357,0.826012962338431,0.542991548776627,0.842554306887769,0.0291752695785689,2.52682293428641,2.62220400571823,1.12246747272005,0.0388678698121526,834
NA,"177",3.40841883175309,3.58654880523682,1.40810199290629,0.0471731916870894,1.19048378253241,1.16534650325775,0.934030598345771,0.0312912023982229,2.21692851305951,2.21644616127014,1.10176648112376,0.036910565903815,891
NA,"193",2.90836236755457,3.14232158660889,1.60870186048444,0.0502964979757803,0.667496259055327,0.447854816913605,0.725206902971954,0.0226737896084528,2.23915936470952,2.41898393630981,1.25794137728314,0.0393298767722682,1023
NA,"209",2.94633294281326,3.23973870277405,1.79018981256896,0.0354302057162507,0.706351567501738,0.459561198949814,0.748741628403713,0.0148185794246007,2.23863474685857,2.38958048820496,1.40637752208623,0.0278340567979892,2553
NA,"225",3.11853533885075,3.40401005744934,1.56214246027785,0.0486982045614135,0.685514840518126,0.590275406837463,0.627653882106315,0.01956647227881,2.43248317325028,2.61950427293777,1.20193877405862,0.0374692204954154,1029
NA,"241",2.96671667093072,3.04992914199829,1.58053879048534,0.0451766943885146,0.960457968956914,0.783207058906555,0.882211862287926,0.0252163476963862,2.00625209082529,2.00134515762329,1.08736980001913,0.0310803970383289,1224
NA,"257",3.21140486218605,3.30921316146851,1.60226959923778,0.0653579401997753,0.868477239531597,0.644576251506805,0.801431946143218,0.0326910909594339,2.34268648466303,2.35029238462448,1.16425331660059,0.0474908833569394,601
NA,"273",2.94161807785426,3.2539632320404,1.78672378313246,0.052733485097539,0.746893850860588,0.550144523382186,0.746555231081348,0.0220338809637928,2.19324030301378,2.3457351475954,1.31286346503714,0.0387479400130127,1148
NA,"289",3.24233986521191,3.61162495613098,1.70792719914169,0.0674590685115279,0.930864570418107,0.758112490177155,0.842641560337192,0.0332823405927454,2.31013482575146,2.47622230648994,1.25802426093728,0.049688970847458,641
NA,"305",3.29786958141373,3.57579946517945,1.54795084516883,0.0592741013388577,0.867476469885009,0.657307982444764,0.853658530727017,0.0326882745773331,2.42920452051943,2.53631609678269,1.20343287485888,0.0460818264362381,682
NA,"321",3.29765339482203,3.6200076341629,1.53356296587538,0.068583020789471,0.897237435490708,0.737423330545426,0.774427813794895,0.0346334647062387,2.3993403586793,2.4826169013977,1.16661080464532,0.0521724212494531,500
NA,"337",3.11993903968612,3.27830719947815,1.67898023776493,0.155889401522173,0.695998960096341,0.223991006612777,0.896984936943026,0.0832829606026784,2.42353658980072,2.51706665754319,1.22734818174739,0.113956417835286,116
NA,"353",3.03748255188689,3.45210313796997,1.9160341864692,0.161359187096416,0.631207005485334,0.392782777547836,0.682580359190049,0.0574836360774174,2.40486637603183,2.72276711463928,1.46018280869165,0.122969575744798,141
