"georeg","doymin","mean_sif743_corj","se_sif743_corj","mean_sif743j","se_sif743j","mean_sifparj","se_sifparj","mean_sifsparj","se_sifsparj","ndsif"
"CA",353,0.538405826223335,0.000888523903472295,1.52381944882031,0.00243370435015837,5.95761272258383e-07,1.27631187731438e-09,1.6873295487509e-06,3.55036231209162e-09,43338
"Southern",1,0.630993011440613,0.000549321678724006,1.7679871144512,0.00149609984496935,6.91668452447247e-07,7.97245047928437e-10,1.94096073068811e-06,2.22378700426333e-09,148449
"Southern",17,0.610670717321583,0.000537054149812041,1.73105849905153,0.0014845506483941,6.56250415306162e-07,7.44570282005502e-10,1.86321300602128e-06,2.11077913858356e-09,130451
"Southern",33,0.604984706920593,0.000515614883125174,1.73758736887321,0.0014509873240879,6.89393701867683e-07,8.27571512509638e-10,1.98142372292448e-06,2.36502527600079e-09,147624
"Southern",49,0.549061351868793,0.000537581722077862,1.58521487054274,0.00153245874054502,6.23986584052603e-07,8.44214452544953e-10,1.80247788794526e-06,2.42798539437997e-09,126331
"Southern",65,0.530832626448434,0.000458700773566236,1.53927090164119,0.00131411509170181,6.03349925124546e-07,7.44624137104957e-10,1.74975068951745e-06,2.1498015137922e-09,153814
"Southern",81,0.505236668053713,0.000457733108213473,1.46474839393662,0.00131126868660993,6.11491484623943e-07,8.37321129642895e-10,1.77330267382258e-06,2.41919877343292e-09,139937
"Southern",97,0.449986643533192,0.000392822904364133,1.30692027830172,0.00113153290908849,5.38150218626165e-07,6.12155879436932e-10,1.56322129217337e-06,1.77576395296448e-09,157065
"Southern",113,0.43230541888111,0.000323988004826669,1.25927911422449,0.000936513166766546,5.20537973573366e-07,5.24567753125352e-10,1.51632239489306e-06,1.52245655679528e-09,175764
"Southern",129,0.419301111999846,0.000326199077931445,1.2269247244973,0.000944582660709537,5.16909016499384e-07,5.06634893410903e-10,1.5128270673636e-06,1.4751981211686e-09,168267
"Southern",145,0.417403759993512,0.000314189135268448,1.22953019832475,0.000912918764473077,5.11173681821109e-07,4.5188479223351e-10,1.50621233467186e-06,1.32003201725777e-09,165685
"Southern",161,0.418265956999001,0.000293051426617657,1.24309596401721,0.000855601449957943,5.06715746042937e-07,4.07297637905768e-10,1.50644620056277e-06,1.19752896263918e-09,173782
"Southern",177,0.417527668338301,0.00030138526843117,1.24830061641048,0.000884053578528079,5.0814304009283e-07,4.33686511387412e-10,1.51981986645897e-06,1.2835748173799e-09,178065
"Southern",193,0.43279878130514,0.000299924430987556,1.29244464972934,0.000882361070989121,4.97416303380637e-07,3.7422606544223e-10,1.48613232018226e-06,1.1094999210501e-09,190147
"Southern",209,0.438096475379143,0.000300384851468898,1.29863422339209,0.00088669897159233,4.7381700246138e-07,3.44195888311303e-10,1.404701319585e-06,1.01777875402354e-09,196648
"Southern",225,0.417432122672298,0.000328340317375526,1.22367629503799,0.000956694543449508,4.58445944259276e-07,4.23200848298925e-10,1.34421540829566e-06,1.23805966750795e-09,183981
"Southern",241,0.428992517912354,0.000350763562284073,1.23702196462889,0.00100619718680969,4.6244084607795e-07,4.89326921613556e-10,1.33359487147046e-06,1.40907256885973e-09,174309
"Southern",257,0.448970056222159,0.000371364012408283,1.27006361308055,0.00104421810936147,4.68289881327584e-07,5.05394460433369e-10,1.3245821893095e-06,1.42676866874056e-09,167352
"Southern",273,0.502494404360234,0.000408600452179245,1.39157201105153,0.00112100623245755,5.19991902304739e-07,5.45031760730364e-10,1.44083193593988e-06,1.5086693485819e-09,169261
"Southern",289,0.577957751184514,0.000484523048978509,1.57726157797723,0.00129656283685591,6.05183990501917e-07,6.53246424465993e-10,1.65216109578268e-06,1.76688628266444e-09,164424
"Southern",305,0.629225813352975,0.000621510443937503,1.70632069342837,0.00163644930444361,6.91846292286131e-07,9.55762344601451e-10,1.87684880049383e-06,2.55425994909545e-09,133942
"Southern",321,0.654650644096306,0.000783082584136356,1.77548584906188,0.00205961107937376,6.8834287801613e-07,1.00521168264514e-09,1.86998701892776e-06,2.7075385354493e-09,88980
"Southern",337,0.662711588185148,0.000840995361233945,1.81125417557597,0.00221693804494847,7.30563505876149e-07,1.24097577580864e-09,1.99928081367969e-06,3.35335067177474e-09,80386
"Southern",353,0.675183811780775,0.000910179667161357,1.8634586951805,0.00241094256235002,7.23395784601121e-07,1.27638168465742e-09,2.00068421558386e-06,3.50772265376026e-09,71660
