"georeg","truedate","mean_sif743_corj","se_sif743_corj","mean_sif743j","se_sif743j","mean_sifparj","se_sifparj","mean_sifsparj","se_sifsparj","doymin","ndsif"
"Southern",2019-03-22,0.501090998743313,0.000819467998786655,1.44807422822583,0.00233953423976668,6.34393031202579e-07,1.66391263055572e-09,1.83426560542023e-06,4.79540974442576e-09,81,46407
"Southern",2019-04-07,0.41748384898,0.00061562074348269,1.21221952702885,0.00177090268151322,4.9905296110383e-07,9.11694159906175e-10,1.44922305226684e-06,2.63055719635503e-09,97,59054
"Southern",2019-04-23,0.433946933976677,0.000538333856572177,1.26327121590071,0.00155056553672262,5.35719312260171e-07,8.79645975217453e-10,1.55974959929988e-06,2.54839418770814e-09,113,59900
"Southern",2019-05-09,0.399464237502373,0.000584483809105969,1.17279868661323,0.00170274273583356,4.99575055515693e-07,9.20959240068064e-10,1.46646811821532e-06,2.68592359069795e-09,129,51486
"Southern",2019-05-25,0.418371373574416,0.00055370754676236,1.2342371842786,0.00161755929392813,5.22887501474069e-07,8.16030208486348e-10,1.54254760788191e-06,2.38584023638549e-09,145,53977
"Southern",2019-06-10,0.421803196715308,0.000464071664164383,1.25242429124764,0.00135502360373787,5.02393828654972e-07,5.82279302915942e-10,1.49216825889837e-06,1.70661138827959e-09,161,59032
"Southern",2019-06-26,0.423365438117102,0.000538844393735254,1.26525804768667,0.0015794794277069,5.16811459541633e-07,7.7448911853404e-10,1.54533687701696e-06,2.29500124332834e-09,177,57999
"Southern",2019-07-12,0.438603657717553,0.000534377237690792,1.31027702856786,0.00157689280711616,5.14873935108564e-07,7.04414990432223e-10,1.53889780096367e-06,2.09552367782171e-09,193,61395
"Southern",2019-07-28,0.438812903540029,0.000509589286528867,1.30065143616811,0.00150628742974995,4.79439618379909e-07,5.71707664778866e-10,1.4211650784945e-06,1.68939779752579e-09,209,65376
"Southern",2019-08-13,0.41406609827025,0.000512391224975909,1.21365719111161,0.00149392340173662,4.57537527847019e-07,6.16119169453407e-10,1.34101097669623e-06,1.79814707182057e-09,225,66697
"Southern",2019-08-29,0.428097787687043,0.000538932964455923,1.23202730033428,0.00154684948889597,4.66341254529462e-07,7.63274450056411e-10,1.34233832922907e-06,2.1907933941949e-09,241,64948
"Southern",2019-09-14,0.432757462761752,0.000556654377372855,1.22094459806037,0.00156485468018211,4.46793150865485e-07,6.72964586484128e-10,1.26046656273168e-06,1.89074506223158e-09,257,65020
"Southern",2019-09-30,0.507071444646569,0.000672476584307574,1.39970272985838,0.001837927475799,5.50547071667204e-07,1.03811215665873e-09,1.52077370607423e-06,2.87130455873549e-09,273,61739
"Southern",2019-10-16,0.555455097020014,0.000725884807772524,1.51337710539268,0.00194148781311063,5.94640798003193e-07,1.060330401244e-09,1.62092236304055e-06,2.8736273870138e-09,289,63806
"Southern",2019-11-01,0.572972344166877,0.00113496707435137,1.54970361800962,0.00297396868148786,6.03764426151478e-07,1.4303628995945e-09,1.63480326938823e-06,3.80474667343034e-09,305,41411
"Southern",2020-01-01,0.632505738337177,0.000877831561694959,1.77396124561601,0.00240629501267839,7.05190486828977e-07,1.34451822881949e-09,1.98070913444752e-06,3.75930897539499e-09,1,55189
"Southern",2020-01-17,0.622349155269096,0.000720232136525545,1.76473652029477,0.00199605917325817,6.68757178337341e-07,1.02261816655775e-09,1.89960476876584e-06,2.91630536512041e-09,17,62593
"Southern",2020-02-02,0.61564867444993,0.000843038695480701,1.76625341195412,0.00237425863312205,7.21783018573527e-07,1.36079375486614e-09,2.0721255280496e-06,3.89561560948245e-09,33,58263
"Southern",2020-02-18,0.550520275845934,0.000776192349024774,1.5904476979408,0.00221764229198357,6.19324700058948e-07,1.22183208055486e-09,1.78933733891166e-06,3.50469150113913e-09,49,57482
"Southern",2020-03-05,0.508995371553541,0.000705808446440467,1.47676467739268,0.0020226154763458,5.66517360326913e-07,9.76278179971883e-10,1.64382290699523e-06,2.81263830429528e-09,65,59334
"Southern",2020-03-21,0.524689152858915,0.000679159282538727,1.52369029970615,0.0019457901140039,6.16482827705626e-07,1.12981297637535e-09,1.79172073847256e-06,3.29101291327927e-09,81,60028
